,artists,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,count,genres,filtered_genre
2940,Bob James,0.3608763157894737,0.6700789473684211,368391.5526315789,0.4534736842105263,0.6272555263157893,0.1116315789473684,-14.247947368421054,0.0386815789473684,114.41847368421053,0.6081578947368421,33.18421052631579,5,0,38,"['jazz funk', 'jazz fusion', 'jazz piano', 'smooth jazz']",Jazz
2942,Bob Lind,0.099,0.5770000000000001,168533.0,0.621,0.0,0.0945,-8.217,0.0262,94.982,0.78,41.0,3,1,2,['psychedelic folk rock'],Rock
2944,Bob Luman,0.7150000000000002,0.6390000000000001,171737.66666666663,0.5556666666666666,0.0793333333333333,0.3543333333333334,-10.701,0.0457333333333333,113.35233333333332,0.7479999999999999,34.333333333333336,8,1,6,"['rock-and-roll', 'rockabilly']",Rock
2948,Bob Moses,0.172,0.705,470093.0,0.4029999999999999,0.00201,0.615,-9.7,0.0438,114.992,0.155,61.0,0,1,2,"['canadian electronic', 'canadian house', 'indie soul', 'indietronica', 'tropical house']",EDM
2949,Bob Mould,0.28265,0.5522500000000001,250716.75,0.4591,0.028287875,0.10665,-15.053249999999998,0.033175,125.563,0.52275,30.75,11,1,8,"['alternative pop', 'alternative rock', 'gbvfi', 'permanent wave', 'power pop', 'roots rock']",Pop
2959,Bob Seger,0.165067231441048,0.521458515283843,261668.0480349345,0.7798646288209611,0.0260742945851528,0.3603397379912661,-5.713349344978168,0.0674148471615719,127.96620960698696,0.5189004366812223,38.043668122270745,9,1,229,"['album rock', 'blues rock', 'classic rock', 'country rock', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock']",Country
2962,Bob Sinclar,0.11966,0.7602,317739.0,0.8632,0.00012424,0.10152,-3.5090000000000003,0.09028,127.63,0.6490000000000001,62.2,1,0,5,"['dance pop', 'disco house', 'edm', 'electro house', 'filter house', 'vocal house']",EDM
2966,Bob Weir,0.14034125,0.579875,285500.125,0.699625,0.03026079,0.1406375,-7.6465,0.031175,123.74462499999998,0.7347499999999998,30.875,2,1,16,"['blues rock', 'country rock', 'folk rock', 'jam band', 'roots rock']",Country
2967,Bob Welch,0.04856,0.6382,203055.8,0.6386,9.6182e-05,0.157,-11.382,0.0365399999999999,108.8714,0.8028000000000001,35.6,4,1,10,"['album rock', 'bubblegum pop', 'classic rock', 'country rock', 'folk rock', 'mellow gold', 'soft rock', 'yacht rock']",Country
2968,Bob Wills,0.6712647058823528,0.6157058823529412,157598.4411764706,0.3920882352941176,0.0566130705882353,0.2249970588235293,-10.08123529411765,0.0577441176470588,127.4700882352941,0.7463235294117647,16.823529411764707,7,1,34,"['bakersfield sound', 'traditional country', 'traditional folk', 'western swing']",Country
2969,Bob Wills & His Texas Playboys,0.8498048780487806,0.6989512195121952,162114.68292682926,0.4615853658536586,0.1073984263414634,0.1973756097560975,-10.139707317073173,0.0629219512195121,120.84524390243902,0.8833414634146343,12.707317073170731,7,1,41,"['bakersfield sound', 'traditional country', 'traditional folk', 'western swing']",Country
2970,Bobaflex,0.000293,0.595,214533.0,0.878,0.00266,0.174,-4.341,0.0401,93.94,0.465,59.0,5,0,2,"['alternative metal', 'nu metal', 'post-grunge', 'rap rock', 'west virginia indie']",Indie
2971,Bobbi Humphrey,0.3315000000000001,0.4718333333333333,395060.0,0.6665000000000001,0.1926360166666666,0.12275,-12.201666666666664,0.0607666666666666,94.45883333333336,0.6161666666666666,32.833333333333336,6,0,12,"['funk', 'jazz flute', 'jazz funk', 'soul jazz']",Jazz
2974,Bobbie Gentry,0.6819047619047618,0.5360714285714285,181455.66666666663,0.3160714285714287,0.0078573,0.1060857142857143,-14.038095238095233,0.0461428571428571,115.14940476190468,0.6260476190476191,28.285714285714285,7,1,42,"['country rock', 'traditional folk']",Country
